                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3472,                 4.4183,                 1.1378,                 0.0625,                0.16667,                0.18823,                0.01882,                 1.6577,                 4.4405,                0.90697,                      0,                      0,                      0
                      2,                 1.1871,                 4.2707,                 1.0156,                 0.0625,                0.16667,                0.18823,                0.01882,                 1.6624,                 4.4382,                0.90516,              6.604e-06,              6.604e-06,              6.604e-06
                      3,                 1.5624,                 4.5134,                 1.1893,                 0.0625,                0.16667,                0.18823,                0.01882,                 1.6477,                 4.4337,                0.89973,             1.3076e-05,             1.3076e-05,             1.3076e-05
                      4,                 1.5384,                 4.6208,                  1.102,                0.07143,                0.16667,                0.19119,                0.01912,                 1.6217,                  4.429,                0.89093,             1.9416e-05,             1.9416e-05,             1.9416e-05
                      5,                  1.348,                 4.4018,                 1.1057,                0.08333,                0.16667,                0.19514,                0.01951,                 1.5927,                 4.4254,                 0.8829,             2.5623e-05,             2.5623e-05,             2.5623e-05
                      6,                 1.2611,                 4.2724,                 1.0655,                    0.1,                0.16667,                0.20067,                0.02007,                 1.5456,                 4.4251,                 0.8788,             3.1699e-05,             3.1699e-05,             3.1699e-05
                      7,                 1.4095,                 4.3133,                 1.1018,                    0.1,                0.16667,                0.20067,                0.02007,                 1.5046,                 4.4183,                 0.8713,             3.7643e-05,             3.7643e-05,             3.7643e-05
                      8,                  1.381,                 4.1984,                 1.0717,                0.08333,                0.16667,                0.19514,                0.01951,                 1.4847,                 4.4002,                 0.8608,             4.3454e-05,             4.3454e-05,             4.3454e-05
                      9,                 1.1091,                 4.0047,                 1.0166,                0.08333,                0.16667,                0.19514,                0.01951,                 1.4791,                 4.3962,                0.85982,             4.9134e-05,             4.9134e-05,             4.9134e-05
                     10,                 1.2383,                  4.062,                 1.0645,                0.07143,                0.16667,                0.19119,                0.01912,                 1.4614,                 4.4101,                0.86511,             5.4681e-05,             5.4681e-05,             5.4681e-05
                     11,                 1.3283,                 3.9386,                 1.0086,                 0.0625,                0.16667,                0.18823,                0.01882,                 1.4543,                 4.4165,                0.86724,             6.0097e-05,             6.0097e-05,             6.0097e-05
                     12,                 1.1719,                 3.8237,                0.98108,                0.06499,                0.41667,                0.10963,                0.01096,                 1.4323,                 4.4331,                0.87813,              6.538e-05,              6.538e-05,              6.538e-05
                     13,                 1.1948,                  3.567,                 1.0559,                0.03571,                0.16667,                0.06768,                0.01218,                 1.4156,                 4.4155,                0.87021,             7.0531e-05,             7.0531e-05,             7.0531e-05
                     14,                 1.1889,                 3.6222,                0.98876,                0.02632,                0.16667,                0.06456,                0.00885,                 1.3779,                 4.4059,                0.86247,              7.555e-05,              7.555e-05,              7.555e-05
                     15,                 1.3624,                 3.4638,                 1.0025,                0.02778,                0.16667,                0.06505,                 0.0091,                  1.333,                  4.393,                0.85988,             8.0438e-05,             8.0438e-05,             8.0438e-05
